churn;plan_int;minutos_dias;llamadas_dias;minutos_int;llamdas_int;reclamos
No;no;58.9;125;9.4;3;1
Yes;yes;196.8;89;20;6;0
No;no;162.6;83;14.2;3;1
Yes;no;282.5;114;9.4;4;1
No;no;113.7;117;10;3;2
No;no;239.8;125;8.7;5;2
No;no;210.2;92;13.1;7;1
No;no;213.8;102;7.2;3;0
No;no;190.7;103;9.8;4;3
No;no;170.9;124;11.6;3;1
No;no;154.2;119;9.2;5;2
No;no;201.4;52;12;3;1
Yes;no;70.7;108;9.1;3;4
Yes;no;187.5;124;6.4;6;4
No;no;91.7;90;9.2;4;2
No;no;214.2;115;9.5;4;3
No;no;145.5;92;10.9;2;3
No;no;166.3;125;6.1;5;1
No;no;231;115;9.5;3;1
No;no;200.3;96;7.1;1;4
No;no;197;109;9.1;10;1
No;yes;129.9;112;11.2;3;3
No;no;175.8;97;5.3;4;5
No;no;203.1;106;12;3;3
No;no;183.2;117;11.2;8;1
No;no;205;101;10.2;5;2
No;no;148.5;115;12.4;3;1
No;no;200.3;68;10.5;4;0
No;no;192.6;107;6.8;5;3
No;no;246.5;47;11.7;4;1
Yes;yes;167.1;86;14.1;7;2
No;no;231.9;101;14.3;6;3
No;no;146.7;91;13.7;3;1
No;yes;271.5;87;11.7;4;1
No;no;181.5;121;8.5;5;1
No;no;257.7;97;11.1;4;2
No;no;193.8;99;10.6;6;1
No;no;102.8;119;10.1;7;1
No;no;187.9;116;7.5;6;1
No;no;226;112;6.9;11;1
No;no;260.4;115;11.5;4;5
No;no;178.7;116;9.8;4;0
Yes;no;337.4;120;15.8;7;0
No;no;157.6;129;13.7;2;0
No;no;183.6;117;10.2;2;1
No;no;142.1;124;9.6;4;1
No;no;136.3;97;7.1;5;0
No;no;217.1;110;12;6;0
No;no;187.5;99;10.5;5;3
No;no;98.9;103;12.2;1;1
No;no;206.3;151;6.1;3;1
No;no;243.1;92;12.1;2;2
No;no;189.8;126;7.5;3;1
No;no;202;102;10.9;3;1
No;no;170.1;124;12.8;4;1
No;no;230.9;87;6.3;2;0
No;no;237.1;105;13.2;2;1
No;no;182.1;91;10.6;5;2
No;no;119.3;87;10.5;4;3
No;no;116.8;87;14.1;2;1
No;no;219.2;92;6.1;5;0
No;no;252.6;104;11.1;7;2
No;no;147.1;91;12.2;3;0
No;no;202.1;103;11.5;3;2
No;no;173.5;93;16.2;10;3
No;no;232.1;122;0;0;3
No;yes;197.1;125;9.5;5;4
Yes;no;58.2;94;11.9;1;5
No;no;115.6;111;9.9;12;2
No;no;186.1;98;14.6;7;2
No;yes;259.9;68;8.4;3;3
No;no;214.3;145;10.8;13;1
No;no;158.7;74;10.2;4;1
No;no;271.6;71;10.9;3;2
No;no;160.6;111;9;3;1
No;no;232.4;109;9.1;3;1
No;no;133.8;85;8.9;4;0
No;no;176.9;109;9.5;2;1
No;no;209.9;74;8.8;4;2
No;no;137.5;118;13.4;2;0
No;no;289.5;52;9.5;4;1
No;no;198.1;86;6.8;6;1
No;no;149.7;119;9.7;8;0
Yes;no;326.5;67;10.7;6;2
Yes;yes;292.9;101;13.8;7;4
No;no;83;64;13;3;0
No;no;145.7;146;13.1;5;3
No;no;182.3;101;11.2;1;2
No;no;218;86;6.4;8;3
No;no;140.6;109;6.8;3;2
No;no;152.7;105;9.4;4;1
No;no;106.7;76;12.1;2;1
No;no;243.8;98;13.7;8;2
No;no;194.4;94;10.8;5;3
No;no;213.9;95;12.2;5;3
No;no;217.2;112;15.8;7;3
No;no;241.1;72;11.6;10;1
No;yes;203.5;100;11.9;11;0
No;no;155.2;131;10.7;3;1
No;no;167.6;139;12.2;6;1
Yes;yes;226.7;98;17.6;4;2
No;no;179.3;93;11.5;6;3
No;no;151.4;89;10.9;3;0
No;no;180;80;4.7;7;3
Yes;no;250.2;121;13;2;1
No;no;223;121;7.1;12;0
No;no;183.6;116;12.2;6;3
No;no;166;114;10.2;6;1
No;no;136.1;112;4.4;2;1
No;no;149.3;113;8.9;6;2
No;no;65.4;97;13.8;1;2
No;no;213.4;111;2.7;4;1
No;no;206.9;85;7.7;2;3
No;no;186.2;78;9.6;3;2
No;no;280.2;136;13.3;3;4
No;no;196.6;84;11.9;3;0
Yes;yes;312;109;10.5;2;0
No;yes;199;110;11;6;1
No;no;203.1;96;13.5;2;3
No;no;168.8;97;10.9;2;0
No;yes;173.1;140;9;5;1
Yes;no;134.4;106;10.2;2;5
No;no;202.6;103;9;9;2
No;no;74.5;117;9.8;7;3
No;no;83.6;148;10.7;9;0
No;no;192.2;86;9.4;6;1
No;no;220.2;89;12.9;5;0
Yes;yes;135.1;95;12.3;2;2
No;no;253.4;77;8.4;2;1
No;no;225;81;7.1;2;3
Yes;no;198.5;99;9.4;3;0
No;no;110.3;107;9.5;5;0
No;no;60;102;11.1;3;0
No;no;214.8;94;10.2;5;0
No;no;181.8;85;9.2;2;4
No;no;154;114;11.8;4;2
Yes;no;157.4;99;13.9;11;4
No;no;207.9;91;14.4;7;4
No;no;207;90;9.1;8;3
No;no;119;101;9.5;3;0
No;yes;143.7;117;10.9;3;0
No;no;165.9;126;14.1;8;4
No;no;138.6;122;9.8;3;1
No;no;84.7;118;14.5;8;1
Yes;yes;62.6;111;10.4;2;1
No;no;155.2;79;8.7;4;1
No;no;164.9;110;6.7;9;1
No;no;134.5;88;15.4;1;1
No;no;143.3;103;11.5;3;1
No;no;168.3;110;12.5;1;1
No;no;262.4;55;8.3;6;2
No;no;206.2;79;11.4;6;1
No;no;225.8;94;8.4;9;4
No;no;138.3;89;13.5;6;3
No;no;94.4;104;4.5;4;0
No;yes;160;123;9.9;3;2
No;no;206.6;105;14.6;3;0
No;no;134.7;121;7.7;3;1
No;no;214.4;78;8;13;3
No;no;192.8;104;13;3;3
No;no;151.1;90;10;3;1
No;no;221.4;103;9.8;5;3
No;yes;218.9;88;11.1;4;0
Yes;no;189.8;96;6.5;2;2
No;no;192.7;85;10.9;6;2
No;yes;204.4;135;10.5;6;3
No;no;172.3;97;13;4;2
No;no;198.4;93;10.4;6;2
No;no;211.7;115;12.2;1;1
No;no;221.6;74;9;2;1
No;no;197.9;108;6.7;5;3
No;no;147.5;90;15.6;3;2
No;no;206.4;122;8.8;5;2
No;no;205.9;88;14.5;4;2
No;no;207.6;88;14.1;5;0
Yes;no;303.9;95;5.3;3;1
No;no;230.6;121;8;2;0
No;no;99.5;110;9.7;3;0
No;no;177.1;112;5.9;4;1
Yes;no;172.7;93;10.3;5;5
No;no;172.7;86;9.8;3;1
No;no;204.2;115;9.5;5;1
No;no;85.7;83;10.1;5;2
No;no;157.6;117;11.9;1;0
No;no;215.5;129;6.6;9;4
No;no;181.5;98;6.6;5;1
No;no;171.7;80;11.9;4;2
Yes;no;266.6;106;5.9;2;1
Yes;no;170.4;108;11.2;3;0
No;no;158;106;9.1;4;1
No;no;92;117;10.3;10;1
No;no;234;109;9.1;5;2
Yes;no;272.1;111;8.5;10;1
Yes;no;296.4;99;11.4;3;4
No;no;194.4;101;11.4;2;0
No;no;227.2;128;8.9;4;3
Yes;no;248.7;109;13.2;2;1
No;no;236.3;102;9.7;6;1
No;no;205.6;69;10.9;3;0
No;no;94.1;136;9.8;4;0
No;no;125.2;99;18.9;2;0
No;no;60.4;158;12.4;3;1
No;no;121;105;7.7;4;2
No;no;117.8;66;7.6;3;3
No;no;232.4;96;5;5;3
Yes;yes;223.5;81;9.4;2;2
No;no;176.3;79;6.2;3;0
No;no;125.2;79;12.9;3;1
No;no;138.7;107;10;3;0
No;no;86.3;134;11.3;4;1
No;no;207;91;13.4;5;3
No;no;58.8;104;7.1;3;0
No;no;68.7;95;11.4;4;1
No;no;239.2;109;9.5;4;1
No;no;198.3;130;12.5;3;0
No;no;205.2;97;14.4;12;0
No;no;192.1;98;7.9;2;3
Yes;no;272.6;83;9.5;2;1
Yes;no;128.3;121;12.2;5;7
No;no;169.6;99;9.3;4;0
No;no;201.3;95;7.5;4;1
No;no;214.7;97;8.6;4;1
No;no;169.2;70;10.6;2;0
No;no;194.1;121;7;7;2
No;no;233.8;104;7.6;3;2
No;no;225.1;67;14.6;2;0
Yes;no;213;63;9.1;1;1
No;no;183.9;115;10.8;11;1
No;no;221.8;105;14;7;0
No;no;64.6;98;0;0;2
No;no;154.6;92;13.3;3;1
No;no;260.2;131;7.2;8;3
No;no;161.6;117;12.2;5;1
No;no;220.6;117;10.5;11;1
No;no;155.9;122;13.1;5;3
Yes;no;107;63;12.8;3;4
No;no;182.5;104;11.3;8;4
No;yes;220.1;78;10.1;4;4
No;no;152.2;112;5.3;3;1
No;no;181.5;95;14.7;9;2
Yes;yes;236.2;77;13.2;2;2
No;no;166.1;105;12.7;2;1
No;yes;244.6;89;11.3;4;1
No;no;134.2;85;8.5;2;2
No;yes;149.7;122;9.2;4;1
No;no;150.1;109;5.8;4;1
Yes;yes;257.1;53;8.8;6;1
No;no;124.4;83;11.3;6;0
No;no;141.7;121;12;5;1
No;no;230;87;11.3;3;2
No;no;162.3;88;10.9;2;0
Yes;no;350.8;75;10.1;9;1
No;no;193.3;96;9.1;3;4
No;no;78.2;127;18;3;1
No;no;83.4;110;7.6;5;1
No;no;195.6;99;16;2;0
No;no;201.8;81;10.3;6;1
No;no;197;110;10.6;6;2
Yes;yes;218;57;12.4;1;0
No;no;164.8;98;14.8;2;2
No;no;179.2;77;9.2;6;2
No;no;214;113;10.6;5;0
No;no;170.5;87;11.2;7;2
No;no;205.7;123;6.7;18;1
Yes;yes;165.5;84;11.5;2;1
No;no;221;100;6.8;4;2
No;no;242.1;118;14.7;2;3
No;no;151.6;107;14.7;4;1
No;yes;176.2;87;5.7;4;0
No;yes;196;82;3.7;5;1
No;no;159.5;125;7.2;4;2
No;no;230.2;113;10.7;7;4
No;no;146.7;64;8.9;1;3
No;no;210.5;102;8.5;5;1
No;no;102;95;10.7;3;1
No;no;126;99;10.2;6;3
No;no;168.4;125;11.1;2;1
No;no;105.6;129;8.7;3;0
No;no;206.5;92;12.4;5;5
No;no;217.1;76;9.4;3;2
Yes;no;229.6;78;10.8;2;0
No;no;278.3;89;9.7;5;0
No;no;138.6;102;7.8;4;0
Yes;no;234.4;103;2;2;1
No;no;181.5;129;8.5;4;1
Yes;no;167.3;91;10.6;5;1
No;no;121;105;12;1;1
No;no;221.1;124;10.6;3;0
No;no;145.8;108;9.9;2;1
No;no;222.8;122;11.2;6;1
No;no;183.4;80;7.5;3;4
No;yes;264.3;91;9.3;5;0
No;no;146;78;6.8;7;0
Yes;no;157.1;134;8.5;5;4
No;yes;127.3;108;10.3;3;1
No;no;187.9;110;4.8;4;2
No;no;178.8;90;8.4;5;2
No;no;97.2;80;10.4;6;2
No;no;259.8;85;5.4;1;0
No;no;256.5;112;7;5;3
No;no;169.5;77;10;3;0
Yes;no;239.7;47;8.7;3;2
Yes;yes;171.5;99;5;2;1
No;no;239.9;84;9.8;2;0
No;no;142.3;73;16;6;1
No;no;184.1;98;7.5;6;2
No;no;206.9;126;9.3;11;2
No;no;259.9;114;15.3;1;1
No;no;203.8;122;12.5;3;0
No;no;248.8;124;10.3;2;3
No;no;221.6;110;11.3;3;1
No;yes;192.9;131;10.9;4;1
No;no;122.4;129;12.5;7;1
No;no;104.9;65;9.6;9;1
No;no;173.2;91;11.2;5;3
No;no;119.4;69;12.4;7;2
Yes;no;250.3;100;13.3;2;2
No;no;178.3;98;11.4;4;1
No;no;243.4;77;12.8;2;1
No;no;155;106;11.8;5;2
No;no;288.7;101;8.6;3;0
No;no;240.4;80;11.2;3;1
No;no;190.3;123;8;3;1
Yes;no;278;76;8.3;4;0
No;no;155;93;13.5;3;1
No;no;153.5;99;6.3;2;2
No;no;273.4;141;12.3;6;1
No;no;155.3;93;12.4;4;0
No;no;133.1;114;6.8;3;1
No;no;246.8;129;12.6;5;1
No;yes;165.4;107;9.6;7;2
No;no;59.5;103;11.1;6;0
No;no;138.3;116;9.6;4;3
No;no;286.7;100;6.9;5;2
No;no;117.3;114;12.2;3;1
No;no;264.3;79;6.3;3;4
No;no;127.9;107;12.5;5;0
No;no;225.5;107;9.8;2;0
No;no;149;115;8.3;3;0
No;no;198.9;77;14.3;9;1
Yes;no;256.4;125;11.1;1;1
Yes;no;264.8;124;14.8;2;1
No;no;98.2;88;9.3;2;2
No;no;159.8;99;9.7;7;2
No;no;190.6;86;6;3;3
No;no;184;120;11;3;0
No;no;261.8;128;9.6;5;1
No;no;147.9;109;9.6;9;3
No;no;106.4;109;10.1;5;1
No;no;133.7;75;5.9;2;0
No;no;193.5;85;8.5;5;0
Yes;yes;178.2;113;13.6;3;3
Yes;no;226.2;103;10.5;5;3
No;no;170.4;103;11.6;4;1
No;no;70.9;163;11.1;5;3
No;no;194.4;63;17.2;9;2
No;no;240.3;146;10.6;2;1
No;no;75;116;9.5;6;3
No;no;69.1;117;6.3;3;1
Yes;no;96.6;59;6.2;4;4
No;no;214.6;101;14.8;12;0
No;no;148.5;111;9.9;6;3
No;no;258.1;106;11.7;5;1
No;no;149.7;112;7.6;2;3
No;no;149.8;134;8.1;2;1
No;no;190.4;102;11.2;4;2
No;no;181.4;108;11.6;6;1
No;no;151.1;123;5.3;3;1
No;no;155.7;116;8.1;4;0
No;no;149.9;95;13.3;13;2
No;no;222.3;132;11;2;3
No;no;149.4;111;6.7;2;0
No;yes;233.8;103;12.8;3;0
No;no;204.2;100;10.5;2;0
No;no;242.9;126;0;0;1
No;no;150.4;119;12.3;4;1
No;no;208.9;119;12.8;7;0
Yes;yes;191.9;91;14.3;6;1
Yes;yes;130.7;113;9.4;2;2
No;no;119.6;104;5.9;2;2
No;no;273.6;93;8.2;4;1
No;yes;156.1;114;11.1;9;2
No;no;178.7;134;8;4;2
No;no;177.5;93;11.9;3;2
Yes;yes;211.3;61;9.7;4;4
No;no;175.2;91;7.5;2;1
No;no;114.3;102;12.6;7;3
No;no;251.4;104;7.5;5;1
Yes;yes;216.9;61;17.5;5;1
No;yes;217.2;138;9.3;3;0
No;no;206.3;97;12.4;12;0
No;no;159.3;66;11.1;5;1
No;no;143.1;88;11.4;5;2
Yes;no;154;122;5.6;2;3
No;no;186.6;69;11.6;5;1
Yes;no;170.8;114;9.6;5;5
No;no;124;102;12.3;3;1
No;no;198.3;94;14.8;8;3
No;no;172.8;101;9.1;8;2
No;no;217.4;74;6.6;3;0
Yes;yes;265.9;113;14;12;0
No;no;93.6;137;17.5;5;1
No;no;98.2;100;7.6;1;2
No;no;214.7;68;9.4;4;2
No;no;168.2;92;12.9;3;1
No;no;202.9;97;9;3;3
No;no;261.4;108;11.6;2;1
Yes;no;73.3;86;8.2;3;4
No;no;253.7;84;9.2;5;7
No;no;45;108;9.8;6;2
No;no;231.3;105;13;6;1
No;no;47.4;125;10.5;8;2
No;no;227.4;88;12.5;3;0
No;no;40.9;126;11.9;7;0
No;no;124.8;133;8.6;4;2
No;yes;68.5;110;12.1;9;0
No;no;163.5;77;7.8;4;2
No;no;163;112;6.7;3;2
No;no;213.7;61;10.7;5;2
No;no;201.3;117;5.4;3;1
No;no;310.4;97;9.2;10;4
No;no;48.4;101;18.2;1;1
No;no;171.2;88;14;6;1
No;no;166.5;93;8.5;3;0
No;no;216.6;126;12.4;8;0
No;no;107.8;113;9.9;3;2
No;no;141.3;94;7.8;2;1
No;no;209.9;77;6.6;1;0
Yes;yes;237.5;120;14.2;3;9
No;no;234.5;109;3.5;6;3
No;no;103.1;90;12.2;8;3
No;no;129.5;106;11.9;3;1
Yes;yes;279.8;90;8.4;10;2
Yes;yes;136.8;91;10.3;9;5
No;no;100.1;54;5.9;3;0
No;no;237.1;63;10.1;5;4
Yes;no;172.8;58;7.9;3;4
No;no;224.5;111;11.5;2;2
Yes;no;288.1;112;10.2;4;3
No;yes;78.2;103;10.1;6;2
No;no;148.7;80;12.7;6;2
No;no;194.6;84;13.1;2;2
No;no;159.5;77;12;4;0
No;no;194.5;110;9.5;2;1
Yes;no;174.1;96;8.3;5;2
No;no;131.8;97;7.7;6;2
No;no;160.6;103;10.7;1;1
No;no;146.8;107;7.2;7;0
No;no;200.7;88;9.1;5;1
No;no;145.6;106;10.9;5;1
No;no;229.4;104;8;1;2
No;no;211;76;4.7;4;3
No;no;121.5;97;11.3;5;2
No;yes;216;73;3.6;7;2
No;no;293;88;10;6;2
Yes;yes;221.1;137;15.4;4;2
No;no;181.5;108;10.3;2;1
No;no;74.3;107;14.5;3;2
No;yes;62.3;92;10.8;3;1
No;no;228.6;88;9;1;3
Yes;no;228.1;121;9.9;5;2
No;no;309.9;90;14.2;2;1
No;no;201.9;74;13.7;6;3
No;no;149.8;112;11.7;4;2
No;no;183.8;76;7.7;3;1
No;no;186.7;108;16.5;4;1
Yes;no;209.4;151;7.4;2;1
No;no;223.2;77;10.2;3;3
No;no;164.2;109;10.7;8;1
No;no;150.5;75;10.3;2;1
Yes;no;234.2;128;9.8;6;0
No;no;55.3;102;10.2;5;1
No;yes;221.8;97;8.4;4;1
No;no;169.6;85;7.4;8;1
Yes;no;89.7;118;13.5;11;5
No;no;80.2;81;8.6;2;1
No;no;218.9;105;11.3;4;2
No;no;125.7;96;12.9;2;1
No;no;176.3;85;9.6;1;2
No;no;207.2;111;9.5;5;2
No;no;205.7;138;12.5;6;2
No;no;151.4;95;0;0;1
No;no;157.5;70;9.6;4;3
No;no;160.4;68;9.1;5;2
No;no;159;80;12.3;5;1
No;no;214.1;62;9.2;6;0
No;no;102.6;89;9.1;4;2
Yes;yes;159.7;86;13.9;6;0
No;no;202.8;109;4.6;4;1
No;no;57.5;95;11.6;6;3
No;no;169.9;144;11.4;7;1
Yes;no;335.5;77;12.7;8;2
No;no;139.5;119;13.1;8;0
No;no;142.3;107;6.6;8;1
No;no;187.8;94;10.6;5;0
No;no;146.2;55;8.7;3;3
No;no;231.8;120;11.6;7;3
No;no;193.7;83;12.7;3;1
No;no;156.4;108;7.7;6;4
Yes;yes;220.7;82;13.2;6;1
No;no;239.8;110;7.3;1;2
No;no;172;111;8;5;1
No;yes;128.2;138;8.8;7;2
No;no;130.2;119;14;6;3
No;no;195.4;107;11.6;6;1
Yes;yes;293.3;79;14.5;4;0
No;no;191.3;89;12.8;4;1
No;no;122.4;88;11.5;3;1
No;no;209.6;68;10.6;3;2
No;no;215.7;140;7.1;1;3
No;no;161.4;110;5.1;2;0
No;no;144.2;91;13.8;4;3
Yes;yes;220.2;109;4.1;2;0
No;no;256.2;105;7.4;2;4
No;no;112.7;119;6.5;5;1
Yes;no;299.5;125;13.7;4;0
No;no;194.8;107;13.9;4;0
No;no;100.8;112;9.5;2;0
No;no;82.5;97;4.8;4;3
No;no;146.4;104;15.6;4;2
No;no;177.9;129;10.8;6;2
No;no;153.5;84;10.2;7;5
No;no;150.7;105;9.2;15;1
No;no;180.1;106;7.5;3;0
No;no;265.3;94;12.9;1;1
No;no;128.6;83;11.4;2;0
No;no;161.5;92;7.9;4;2
No;no;165.3;120;9.8;3;1
No;no;195;92;11;13;0
No;no;213.8;79;15.6;7;0
No;no;205.5;114;14;4;1
No;no;252.9;112;8.5;4;3
No;no;235.6;74;15.4;9;0
No;no;192;91;7.5;5;1
No;no;69.1;122;9.1;4;0
Yes;no;261.7;97;6;3;3
No;no;235.5;81;11.5;4;2
No;no;213.4;100;9.5;6;1
No;no;206.9;143;9.2;1;3
No;no;263.8;65;8.5;3;3
No;no;183.4;126;10.5;5;1
Yes;no;157.6;85;9.4;10;5
No;no;175.6;147;9.3;4;0
No;no;242.5;101;9.3;2;2
No;no;151;102;9.9;7;0
No;no;138.1;103;8.3;2;1
Yes;no;264.7;69;9.5;9;1
No;no;282.3;70;12;4;1
No;no;211.2;80;12.3;2;0
No;no;197.1;126;7.4;4;3
No;no;205.3;95;7.8;4;1
No;no;181.8;110;9.2;4;2
No;no;252;120;9.6;1;2
No;no;193.8;102;9.2;3;0
No;no;231.2;135;12.3;1;1
No;no;200.1;108;15.5;4;0
No;no;266.7;109;16.3;4;1
No;no;118.1;117;11.9;6;2
No;no;175.3;106;11.8;5;0
No;no;125.1;99;11.2;3;3
No;no;176.8;90;7.5;15;1
No;no;241.9;101;5.9;3;1
No;no;241.2;134;10.6;4;0
No;no;217.1;99;9.4;4;1
No;no;195.4;110;8.9;4;0
Yes;yes;222.4;78;8.7;9;1
No;no;189.5;90;13.1;2;1
No;no;123.1;100;9.3;5;0
No;no;256.7;98;11.4;3;3
No;no;159.1;94;6.5;1;1
No;no;100.1;90;11.1;8;3
No;no;30.9;113;8.6;7;1
No;no;223.2;76;10.1;2;3
No;no;187.4;101;12.6;8;1
No;no;315.6;105;12.1;3;3
No;no;277.5;104;8.2;2;1
No;no;189.8;111;14.9;3;2
No;no;147.2;119;10.2;4;1
No;no;185.8;36;5.7;7;4
No;no;155.4;110;8;4;3
No;no;154.2;91;10.9;4;6
No;no;97.6;98;11.6;9;1
No;no;178.8;94;7.5;3;1
No;no;149.3;104;9.1;4;0
No;no;206;89;8.4;11;0
No;no;216.8;86;11;9;0
No;no;103.3;110;10.7;3;0
No;no;139.4;95;7.7;3;0
No;no;191.2;110;14.1;3;1
No;no;160;104;10.4;7;1
No;no;221.7;95;6.5;4;3
No;no;62.9;81;8.5;5;1
No;no;215.6;78;3.6;5;1
No;no;165.3;97;7.6;7;3
No;yes;94.7;111;10.6;6;2
No;no;203.2;81;9.7;3;2
No;no;195.3;70;12.5;4;3
No;no;143.7;114;11.4;8;4
No;no;114.4;104;0;0;2
No;no;222.8;101;6.9;2;2
No;no;175.9;70;7.3;5;2
Yes;yes;249.9;95;15.3;6;1
No;yes;234.5;130;11.4;4;2
No;no;210.7;116;7.2;6;1
No;no;182.3;124;9.3;3;1
No;no;190.3;88;11.7;5;2
No;no;177.1;88;7.4;2;0
Yes;no;87.2;92;10.9;5;6
No;no;215.6;96;13.5;3;1
No;no;137.4;109;14;11;3
No;no;192.8;103;16.4;5;1
No;no;149.3;100;11.9;3;2
No;no;143.7;116;7.8;5;1
No;no;224.8;111;9.2;2;1
No;no;261.2;122;12.7;5;2
No;no;196.5;98;13.4;5;0
Yes;no;271.2;105;11.5;3;3
No;no;207.2;121;8;1;2
No;no;300.4;94;7.2;5;2
No;no;229.6;123;9.5;8;2
No;yes;187.5;110;12.1;4;1
No;yes;57.1;98;6.5;6;3
Yes;no;162.1;86;11;9;5
Yes;yes;145;89;16.7;3;2
No;no;159.5;123;11.4;3;1
No;no;190.7;72;8.8;8;1
No;no;230.6;40;9.4;2;1
No;no;34;133;11.5;3;0
No;no;193.4;112;11.4;3;5
No;no;202;126;10.4;6;1
No;no;191.7;122;9.1;5;1
No;no;161.3;97;6.6;8;1
No;no;150.6;85;6.4;2;1
No;no;184.6;102;7.8;1;1
No;no;220.7;120;8.7;5;1
No;yes;167.3;119;11;6;1
No;no;154;80;8.2;4;3
No;no;121.1;116;10.1;6;0
No;no;182.1;94;12.7;4;3
No;no;109.6;88;11;5;2
No;no;209.9;105;9.6;4;1
No;no;167.5;76;11.4;4;2
No;no;213.9;88;9.8;14;2
No;no;115.8;108;13.1;5;1
No;no;276.6;99;9.8;6;2
No;no;179.4;88;9.5;4;2
No;no;187.3;84;10.1;5;1
No;no;201.2;128;8.4;3;2
No;yes;189.6;78;1.3;6;1
No;no;186.8;124;15;5;0
No;no;153.5;83;11.4;4;0
No;no;187.6;97;8.7;6;2
Yes;yes;230.9;132;11;2;0
No;no;244.9;150;15.2;4;2
No;no;230.9;93;9.7;2;3
No;no;187.1;104;11;3;1
No;no;170.7;54;13.3;4;1
Yes;yes;126.9;97;8.8;3;5
No;no;189.5;112;9.2;7;0
Yes;yes;176.9;110;7.7;2;1
